movie_title,vote_average,vote_count,release_date,revenue,runtime_x,adult,budget,original_language,popularity,genres_x,production_companies,production_countries,spoken_languages,release_year,content_rating,genres_y,directors,authors,actors,original_release_date,streaming_release_date,runtime_y,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Interstellar,8.417,32571,2014-11-05 00:00:00,701729206,169,False,165000000,en,140.241,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions","United Kingdom, United States of America",English,2014.0,PG-13,"Action & Adventure, Science Fiction & Fantasy",Christopher Nolan,"Christopher Nolan, Jonathan Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Casey Affleck, Topher Grace, Ellen Burstyn, Wes Bentley, Mackenzie Foy, Matt Damon, Timothée Chalamet, John Lithgow, David Gyasi, Josh Stewart, Elyes Gabel, Collette Wolfe, Leah Cairns, David Oyelowo, William Devane, Jeff Hephner, Lena Georgas, Liam Dickinson, Mark Casimir Dyniewicz, Kristian VanderHeyden, Francis X. McCarthy, Marlon Sanders, Alexander Michael Helisek, Andrew Borba, Benjamin Hardy, Bill Irwin",2014-11-07 00:00:00,2016-05-24,165.0,Paramount Pictures,Certified-Fresh,72.0,364.0,Upright,86.0,175957.0,62,263,101
Avengers: Infinity War,8.255,27713,2018-04-25 00:00:00,2052415039,149,False,300000000,en,154.34,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,"English, Xhosa",2018.0,PG-13,"Action & Adventure, Science Fiction & Fantasy",Anthony Russo,"Christopher Markus, Stephen McFeely","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland (II), Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Karen Gillan, Zoe Saldana, Dave Bautista, Tom Hiddleston, Anthony Mackie, Sebastian Stan, Benedict Wong, Idris Elba, Danai Gurira, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio Del Toro, Josh Brolin, Chris Pratt, William Hurt, Letitia Wright, Pom Klementieff, Paul Rudd, Kerry Condon, Peter Dinklage, Angela Bassett, Carrie Coon, Sean Gunn, Winston Duke, Florence Kasumba, Jacob Batalon, Callan Mulvey, Terry Notary, Tom Vaughan-Lawlor, Perla Middleton, Harrison Osterfield, Tiffany Espensen, Marija Abney, Isabella Amara, Marie Mouroum, Hyejin Jang, Matthew Zuk, Ethan Dizon, Annie Pisapia, Floyd Anthony Johns, Jr., Blair Jasin, Michael David Yuhl, Kejuan London Keith, Michael Pierino Miller, Slim Khezri, Martavious Gayles, Sergio Briones, Cecil M. Henry, Chase Ledgerwood, Daniela Gaskie, David Escobar, John Gettier, Devin Koehler, Mallory Kidwell, Edward Parker, Luke Maher, Cobie Smulders, Samuel L. Jackson",2018-04-27 00:00:00,2018-07-31,149.0,Walt Disney Pictures,Certified-Fresh,85.0,472.0,Upright,91.0,58720.0,57,400,72
Fight Club,8.438,27238,1999-10-15 00:00:00,100853753,139,False,63000000,en,69.498,Drama,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English,1999.0,R,"Comedy, Drama",David Fincher,Jim Uhls,"Brad Pitt, Edward Norton, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Richmond Arquette, David Andrews, George Maguire (II), Eugenie Bondurant, Christina Cabot, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim De Zarn, Ezra Buzzington, Dierdre Downing Jackson, Bob Stephenson, Charlie Dell, Rob Lanza, Van Quattro, Markus Redmond, Michael Girardin, Peter Iacangelo, Carl N. Ciarfalio, Matt Winston, Joon B. Kim, Pat McNamara, David Lee Smith, Holt McCallany, Joel Bissonnette, Evan Mirand, Robby Robinson, Lou Beatty Jr., Thom Gossom Jr., Valerie Bickford, Stuart Blumberg, Todd Peirce, Mark Fite, Bennie E. Moore, W. Lauren Sanchez, Tyrone R. Livingston, Owen Masterson, David Jean Thomas, Paul Carafotes, Christopher John Fields, Anderson Bourell, Scotch Ellis Loring, Michael Shamus Wiles, Andi Carnick, Edward Kowalczyk, Leonard Termo",1999-10-15 00:00:00,2015-11-25,139.0,20th Century Fox,Certified-Fresh,79.0,173.0,Upright,96.0,1093242.0,40,137,36
Guardians of the Galaxy,7.906,26638,2014-07-30 00:00:00,772776600,121,False,170000000,en,33.255,"Action, Science Fiction, Adventure",Marvel Studios,United States of America,English,2014.0,PG-13,"Action & Adventure, Science Fiction & Fantasy",James Gunn (II),"James Gunn (II), James Gunn, Nicole Perlman, Dan Abnett, Andy Lanning, Bill Mantlo, Jim Starlin, Steve Gerber","Chris Pratt, Zoe Saldana, Dave Bautista, Lee Pace, Michael Rooker, Karen Gillan, Benicio Del Toro, Djimon Hounsou, John C. Reilly, Glenn Close, Ophelia Lovibond, Gregg Henry, Laura Haddock, Sean Gunn, Peter Serafinowicz, Christopher Fairbank, Krystian Godlewski, Wyatt Oleff, Janis Ahern, Solomon Mousley, Lindsay Morton, Robert Firth, Melia Kreiling, Tom Proctor, Nick Holmes, Max Wrottesley, Stan Lee, Nicole Alexandra Shipley, Sharif Atkins, Brendan Fehr, Tomas Arana, Mikaela Hoover, Emmet Scanlan, Dominic Grant, Spencer Wilding, Alison Lintott, Alexis Rodney, Nathan Fillion, Keeley Forsyth, Frank Gilhooley, Alexis Denisof, Enzo Cilenti, Richard Katz, Enoch Frost, Ronan Summers, Laura Ortiz, Marama Corlett, Rosie Jones, Abidemi Sobande, Alex Rose, Ekaterina Zalitko, Emily Redding, Stephen Blackehart, Jennifer Moylan-Taylor, Bruce MacKinnon, Ralph Ineson, Rob Zombie, Naomi Ryan, John Brotherton, Graham Shiels, James Gunn (II), Doug Robson, Rachel Cullen, Isabella Poynton, Imogen Poynton, David Yarovesky, Miriam Lucia, Vin Diesel, Bradley Cooper, Josh Brolin",2014-08-01 00:00:00,2015-11-15,121.0,Walt Disney Pictures,Certified-Fresh,91.0,328.0,Upright,92.0,255582.0,59,300,28
Django Unchained,8.171,24672,2012-12-25 00:00:00,425368238,165,False,100000000,en,54.224,"Drama, Western","The Weinstein Company, Columbia Pictures",United States of America,"English, French, German",2012.0,R,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Samuel L. Jackson, Walton Goggins, Kerry Washington, Dennis Christopher, Laura Cayouette, M.C. Gainey, Don Johnson, Todd Allen, Misty Upham, James Remar, James Russo, Tom Wopat, Jonah Hill, David Steen, Dana Gourrier, Nichole Galicia, Bruce Dern, Franco Nero, Don Stroud, Russ Tamblyn, Amber Tamblyn, Cooper Huckabee, Doc Duhame, Lee Horsley, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot, Escalante Lundy, Miriam F. Glover, Zoe Bell, Michael Bowen, Robert Carradine, Jake Garber, Ted Neeley, James Parks, Tom Savini, Michael Parks, John Jarratt, Quentin Tarantino, Elisa",2012-12-25 00:00:00,2017-03-24,165.0,The Weinstein Co.,Certified-Fresh,87.0,288.0,Upright,91.0,429231.0,55,250,38
Avengers: Endgame,8.263,23857,2019-04-24 00:00:00,2800000000,181,False,356000000,en,91.756,"Adventure, Science Fiction, Action",Marvel Studios,United States of America,"English, Japanese, Xhosa",2019.0,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",Anthony Russo,"Christopher Markus, Stephen McFeely","Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans, Chris Hemsworth, Chris Pratt, Elizabeth Olsen, Anthony Mackie, Benedict Cumberbatch, Chadwick Boseman, Evangeline Lilly, Karen Gillan, Brie Larson, Zoe Saldana, Frank Grillo, Ty Simpkins, Dave Bautista, Rene Russo, Sebastian Stan, Katherine Langford, Jeremy Renner, Paul Rudd, Gwyneth Paltrow, Don Cheadle, Josh Brolin, Tom Holland (II), Tilda Swinton, Letitia Wright, Winston Duke, Sean Gunn, Kerry Condon, Emma Fuhrmann, Benedict Wong, Hiroyuki Sanada, Terry Notary, Colin Goodwin, Bradley Cooper, Brandon Rush, Cobie Smulders, Michael A. Cook, Floyd Anthony Johns, Jr., Eric Wallace, Khalid Ghajji, Brent McGee, Faith Logan, Monica Mathis, Hyejin Jang, Michael Pierino Miller, Jimmy Ray Pickens, Keith Nussbaum, Robert Redford, Benjamin Weaver, Ami Fujimoto, Renah Gallagher, Jay D. Kacho, Daniela Gaskie, Gozie Agbo, Michael Shaw, Michael James Shaw, Cade Woodward, Stan Lee, Jackson Dunn, Lee Moore, Matthew Berry, Joy McAvoy",2019-04-26 00:00:00,2019-07-30,181.0,Marvel Studios,Certified-Fresh,94.0,528.0,Upright,90.0,70334.0,57,495,34
The Lord of the Rings: The Fellowship of the Ring,8.402,23323,2001-12-18 00:00:00,871368364,179,False,93000000,en,87.037,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,2001.0,PG-13,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",Peter Jackson,"Fran Walsh, Peter Jackson, Philippa Boyens","Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Sean Bean, Cate Blanchett, Ian Holm, Hugo Weaving, Orlando Bloom, Christopher Lee, Sean Astin, John Rhys-Davies, Billy Boyd, Dominic Monaghan, Alexandra Astin, Sala Baker, Timothy Bartlett, Marton Csokas, Brad Dourif, Mark Ferguson, Taea Hartwell, Bernard Hill, Bruce Hopkins, Jay Laga'aia, Nathaniel Lees, John Leigh, Peter McKenzie, Lawrence Makoare, Robyn Malcolm, Sarah McLeod, John Noble, Craig Parker, Martyn Sanderson, Brian Sergent, Harry Sinclair, Bruce Spence, Karl Urban, Stephen Ure, David Wenham, Andy Serkis",2001-12-19 00:00:00,2011-06-28,178.0,New Line Cinema,Certified-Fresh,91.0,233.0,Upright,95.0,1355751.0,48,213,20
The Lord of the Rings: The Return of the King,8.474,22334,2003-12-01 00:00:00,1118888979,201,False,94000000,en,99.276,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,2003.0,PG-13,"Action & Adventure, Classics, Science Fiction & Fantasy",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Elijah Wood, Sean Astin, Ian McKellen, Andy Serkis, Viggo Mortensen, Orlando Bloom, Billy Boyd, Dominic Monaghan, John Rhys-Davies, Liv Tyler, Bernard Hill, Miranda Otto, Hugo Weaving, David Wenham, Karl Urban, Cate Blanchett, Ian Holm, Joel Tolbeck, Sean Bean, John Noble, Noel Appleby, John Bach, Alistair Browning, Richard Edge, David Aston, Bruce Hopkins, Lawrence Makoare, Bret McKenzie, Maisie McLeod-Riera, Paul Norell, Thomas Robins, Harry Sinclair, Alexandra Astin, Sadwyn Brophy, Marton Csokas, Jason Fitch, Ian Hughes, Sarah McLeod, Bruce Phillips, Shane Rangi, Todd Rippon, Peter Tait, Stephen Ure, Alan Howard",2003-12-17 00:00:00,2010-04-06,200.0,New Line Cinema,Certified-Fresh,93.0,275.0,Upright,86.0,34679773.0,53,257,18
Avengers: Age of Ultron,7.276,21754,2015-04-22 00:00:00,1405403694,141,False,365000000,en,96.565,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,English,2015.0,PG-13,"Action & Adventure, Science Fiction & Fantasy",Joss Whedon,"Stan Lee, Jack Kirby, Joss Whedon","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Linda Cardellini, Scarlett Johansson, Jeremy Renner, Samuel L. Jackson, James Spader, Elizabeth Olsen, Aaron Taylor-Johnson, Thomas Kretschmann, Paul Bettany, Tom Hiddleston, Stellan Skarsgård, Cobie Smulders, Don Cheadle, Anthony Mackie, Hayley Atwell, Idris Elba, Claudia Kim, Andy Serkis, Julie Delpy, Stan Lee, Henry Goodman, Chris Luca, Brian Schaeffer, Dominique Provost-Chalkley, Isaac Andrews, Gareth Kieran Jones, Chan Woo Lim, Minhee Yeo, Bentley Kalu, Julian Bleach, Vuyo Dabula, Nondumiso Tembe, Kabelo Thai, Lele Ledwaba, Mandla Gaduka, Harriet Manamela, Antony Acheampong, Chioma Anyanwu, Ingvild Deila, Earl Kim Shiroma, Michael Matovski, Alma Noce, Riccardo Richetta, Earl Kim, Constanza Ruff, Monty McLaren, Julia Krynke, Tony Christian, Ian Kay, Barry Aird, Verity Hewlett, Monty McLaren-Clark, Mina Kwon, Namju Go, Sunny Yeo, Chris Beasley, Samuel L",2015-05-01 00:00:00,2015-09-08,141.0,Walt Disney Pictures,Certified-Fresh,76.0,367.0,Upright,83.0,288708.0,61,279,89
Captain America: Civil War,7.4,21541,2016-04-27 00:00:00,1155046416,147,False,250000000,en,70.741,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,"Romanian, English, German, Russian",2016.0,PG-13,"Action & Adventure, Science Fiction & Fantasy",Anthony Russo,"Christopher Markus, Stephen McFeely","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Marisa Tomei, Tom Holland (II), Frank Grillo, Martin Freeman, William Hurt, Daniel Brühl, John Kani, John Slattery, Hope Davis, Alfre Woodard, Michael A. Cook, Laughton Parchment, Gene Farber, Florence Kasumba, Cornell John, Sven Honig, Brent McGee, Blair Jasin, Be Satrazemis, Oliver Bigalke, Rafael Banasik, Paul Austin Sanders, David Devries, Brett Gentile, John Curran (IV), Beniamino Brogi, Katie Amess, Silvina Buchbauer, Michael Anthony Rogers, Damion Poitier, Kim Scar, Umar Khan, Jessica Walther-Gabory, Guy Fernandez, Jim Rash, Gozie Agbo, Henry Amadi, Stan Lee, Ugochukwu Ani, Amelia Morck, Julianna Guill, Surely Alvelo, David Brown, Brian Schaeffer, Sophia Russo, Kerry Condon",2016-05-06 00:00:00,2016-09-02,146.0,Walt Disney Pictures,Certified-Fresh,91.0,414.0,Upright,89.0,180162.0,63,375,40
